results_studies_id,results_id,results_position,results_queries_id,results_url,results_main,results_se,hash
53,670106,37,3620,"Migranten Gersthofen","https://www.gi-geoinformatik.de/gis-dienstleistung/geodatenbestaende/",https://www.gi-geoinformatik.de/,Google
53,670107,38,3620,"Migranten Gersthofen","https://www.stadthalle-gersthofen.de/Christoph_Sieber__VA1889",https://www.stadthalle-gersthofen.de/,Google
53,670108,39,3620,"Migranten Gersthofen","https://www.statistik.bayern.de/mam/statistik/gebiet_bevoelkerung/demographischer_wandel/demographische_profile/09772147.pdf",https://www.statistik.bayern.de/,Google
53,670109,40,3620,"Migranten Gersthofen","https://www.die-gfi.de/augsburg/news/news-details/bem-betriebliches-eingliederungsmanagement/",https://www.die-gfi.de/,Google
53,670110,41,3620,"Migranten Gersthofen","https://www.fes.de/themenportal-bildungspolitik/artikelseite-bildungspolitik/emanzipation-im-islam-unvereinbar-gersthofen",https://www.fes.de/,Google
53,670111,42,3620,"Migranten Gersthofen","http://www.fill.de/index.php?option=com_content&view=archive&itemid=99&limitstart=80",http://www.fill.de/,Google
53,670112,43,3620,"Migranten Gersthofen","https://skew.engagement-global.de/landkarte-klimapartnerschaften.html",https://skew.engagement-global.de/,Google
53,670113,44,3620,"Migranten Gersthofen","http://www.stadt-gersthofen.de/media/Buergerbeteiligung/GERSTH_Doku_BWI-Gersthofen_2013_11_08.pdf",http://www.stadt-gersthofen.de/,Google
53,670114,45,3620,"Migranten Gersthofen","https://www.bayern.landtag.de/www/ElanTextAblage_WP17/Drucksachen/Schriftliche%20Anfragen/17_0000886.pdf",https://www.bayern.landtag.de/,Google
53,670115,46,3620,"Migranten Gersthofen","https://blickpunkt-gersthofen.de/2018/10/01/familienstation-gersthofen-gelebte-integrationsarbeit/",https://blickpunkt-gersthofen.de/,Google
53,670116,47,3620,"Migranten Gersthofen","https://www.ordix.de/",https://www.ordix.de/,Google
53,670117,48,3620,"Migranten Gersthofen","https://vor-ort.kolping.de/kolpingsfamilie-gersthofen/2014/11/27/fahrraeder-fuer-asylanten/",https://vor-ort.kolping.de/,Google
53,670118,49,3620,"Migranten Gersthofen","https://gemeinde-emersacker.de/data/uploads/pdf/asyl/leitfaden-asylarbeit.pdf",https://gemeinde-emersacker.de/,Google
53,670119,50,3620,"Migranten Gersthofen","https://taz.de/Vorzeitiges-Weihnachten-in-Gersthofen/!1270328/",https://taz.de/,Google
53,670120,51,3620,"Migranten Gersthofen","http://www.aau-augsburg.de/",http://www.aau-augsburg.de/,Google
53,670121,52,3620,"Migranten Gersthofen","https://medienpraxis-mit-gefluechteten.de/wortschatzsuche/",https://medienpraxis-mit-gefluechteten.de/,Google
53,670122,53,3620,"Migranten Gersthofen","https://www.b4bschwaben.de/suche_cosearch,Bayern+2_costart,41_type,tag.html",https://www.b4bschwaben.de/,Google
53,670123,54,3620,"Migranten Gersthofen","https://www.digitale-chancen.de/content/presse/stories.cfm/key.201/secid.144/secid2.192/lang.1",https://www.digitale-chancen.de/,Google
53,670124,55,3620,"Migranten Gersthofen","https://www.find-clever.de/firmen/igw-gesellschaft-fuer-wirtschaftliche-baubetreuung-mbh-gersthofen-2124594.html",https://www.find-clever.de/,Google
53,670125,56,3620,"Migranten Gersthofen","https://de.jooble.org/stellenangebote-lagerarbeiter+kommissionierer/Gersthofen",https://de.jooble.org/,Google
53,670126,57,3620,"Migranten Gersthofen","https://www.bsaktuell.de/regionalnachrichten/landkreis-stadt-augsburg/augsburg-migranten-belaestigen-junge-frau-hinweise-gesucht/54051/",https://www.bsaktuell.de/,Google
53,670127,58,3620,"Migranten Gersthofen","https://web2.cylex.de/firma-home/arbeiterwohlfahrt-bezirksverband-schwaben-e-v--seniorenheim-gersthofen-5492531.html",https://web2.cylex.de/,Google
53,670128,59,3620,"Migranten Gersthofen","https://www.bamf.de/DE/Themen/Integration/ZugewanderteTeilnehmende/Integrationskurse/InhaltAblauf/inhaltablauf-node.html",https://www.bamf.de/,Google
